#tam_pop = 50
#probabilidad_mutacion = 0.01
#funcion_cruza = cruza_un_punto
#funcion_seleccion = seleccion_por_torneo
#iteraciones = 100

#variable aptitud_promedio_población aptitud_promedio_mejor_individuo promedio_iteraciones promedio_duración
0.1 48.26012029711388 49.997511230315865 79 10.295726132950001
0.1125 48.32628117683992 49.997559158346796 82 10.28145656329
0.125 48.35768480432631 49.99763741453479 76 10.32762942757
0.1375 48.34373377427584 49.99763741453479 73 10.503259476850001
0.15 48.366772927077164 49.99771670205159 92 10.67638546816
0.1625 48.436160968381735 49.997539780868664 91 10.97829966683
0.175 48.434381237889575 49.99723031132521 75 10.85645040359
0.1875 48.19972354051485 49.99751403924893 80 10.935013821830001
0.2 48.37532546418388 49.99766418748333 76 10.989019202320002
0.2125 48.36648378768503 49.99764761893826 72 11.36369780027
0.225 48.24245758803916 49.99771670205159 69 11.510452792759999
0.2375 48.217313682489404 49.99763563693054 68 11.80129714041
0.25 48.33492287139078 49.997383268492676 79 11.675726489199999
