#tam_pop = 50
#probabilidad_cruza = 0.1
#funcion_cruza = cruza_un_punto
#funcion_seleccion = seleccion_por_torneo
#iteraciones = 100

#variable aptitud_promedio_población aptitud_promedio_mejor_individuo promedio_iteraciones promedio_duración
0.01 48.32701670427383 49.99762543252706 89 10.56385647524
0.0125 47.83292127832728 49.99755176287639 75 10.61409365111
0.015 47.44084739358401 49.99761167291506 68 10.687559331760001
0.0175 46.807221311898736 49.997538003264395 76 10.686270485909999
0.02 46.27398578653631 49.99779037170225 82 10.601830049370001
0.0225 45.844327560176886 49.99793771100358 104 10.63188755908
0.025 45.06230029673057 49.997563744884125 143 10.786523250430001
0.0275 44.4605647814634 49.99772128858893 310 10.9561072178
0.03 43.850480434401405 49.99733253152867 559 11.245776705719999
0.0325 43.206524565291275 49.99766418748333 962 11.469113140560001
0.035 42.74363500397236 49.997572917958784 1686 12.237627098739999
0.0375 41.793259843913184 49.99736108208147 3119 14.022045534510001
0.04 41.047203303865615 49.997555123642776 5109 16.218401778729998
0.0425 40.35609920642318 49.996930636432225 5395 16.55356253808
0.045 39.759357852120665 49.99620109277086 6890 18.19225077167
0.0475 39.260166964847265 49.995916235304485 7049 18.24070634752
0.05 38.626994214606505 49.995262644154394 7851 18.89978014201
