#probabilidad_cruza = 0.25
#probabilidad_mutacion = 0.01
#funcion_cruza = cruza_un_punto
#funcion_seleccion = seleccion_por_torneo
#iteraciones = 100

#variable aptitud_promedio_población aptitud_promedio_mejor_individuo promedio_iteraciones promedio_duración
50 48.3000845240897 49.99752321232359 73 11.794002243089999
60 48.350802442997356 49.997401614642 63 13.9149087887
70 48.36981100241097 49.99764939654253 59 16.70854209762
80 48.25879189806055 49.99762084598972 55 18.88434601964
90 48.31424948393854 49.99769273803613 51 21.76638591461
100 48.31768184340618 49.997401614642 52 23.72292229116
110 48.28151026383219 49.997485488696135 48 25.729397335039998
120 48.34163917335416 49.997506643778536 44 28.0769244287
130 48.301871733060715 49.997566553817194 44 31.1112071053
140 48.31342050951669 49.99746892015107 44 33.345774411339995
150 48.30538728312542 49.997420992120134 44 35.85920673395
160 48.300129124764005 49.99762824146013 42 37.96015759265
170 48.284389558731725 49.997671582953735 42 40.439080244239996
180 48.28849091611228 49.9975591583468 41 42.742896770659996
190 48.351186385925324 49.997509452711604 41 45.013387657390005
200 48.372896631036696 49.99754998527214 40 47.38860091318
